x,y,line,algo,step,reward,zeros,a0,a1,a2,a3,a4,a5,a6,a7,a8,cnt0,cnt2,cnt4,cnt8,cnt16,cnt32,cnt64,cnt128,cnt256,cnt512,cnt1024,cnt2048
0,6,random-0,random,0,0,6,0,2,0,0,0,0,0,2,2,6,3,0,0,0,0,0,0,0,0,0,0
4,6,random-0,random,1,4,6,2,0,4,0,0,0,4,0,0,6,1,2,0,0,0,0,0,0,0,0,0
4,5,random-0,random,2,4,5,2,4,0,0,0,0,4,0,2,5,2,2,0,0,0,0,0,0,0,0,0
4,4,random-0,random,3,4,4,2,4,0,0,0,0,4,2,2,4,3,2,0,0,0,0,0,0,0,0,0
8,4,random-0,random,4,8,4,2,4,0,0,0,2,4,4,0,4,2,3,0,0,0,0,0,0,0,0,0
16,4,random-0,random,5,16,4,0,0,2,2,0,0,4,8,2,4,3,1,1,0,0,0,0,0,0,0,0
20,4,random-0,random,6,20,4,0,2,0,2,0,0,4,8,4,4,2,2,1,0,0,0,0,0,0,0,0
20,3,random-0,random,7,20,3,2,0,0,2,0,2,4,8,4,3,3,2,1,0,0,0,0,0,0,0,0
24,3,random-0,random,8,24,3,2,2,0,4,0,0,4,8,4,3,2,3,1,0,0,0,0,0,0,0,0
28,3,random-0,random,9,28,3,4,0,0,4,0,2,4,8,4,3,1,4,1,0,0,0,0,0,0,0,0
28,2,random-0,random,10,28,2,4,4,0,4,2,0,4,8,4,2,1,5,1,0,0,0,0,0,0,0,0
36,2,random-0,random,11,36,2,0,0,8,2,4,2,4,8,4,2,2,3,2,0,0,0,0,0,0,0,0
36,1,random-0,random,12,36,1,8,2,0,2,4,2,4,8,4,1,3,3,2,0,0,0,0,0,0,0,0
36,0,random-0,random,13,36,0,8,2,2,2,4,2,4,8,4,0,4,3,2,0,0,0,0,0,0,0,0
40,0,random-0,random,14,40,0,8,4,2,2,4,2,4,8,4,0,3,4,2,0,0,0,0,0,0,0,0
52,1,random-0,random,15,52,1,8,0,2,2,8,4,4,8,4,1,2,3,3,0,0,0,0,0,0,0,0
76,2,random-0,random,16,76,2,8,0,2,2,0,2,4,16,8,2,3,1,2,1,0,0,0,0,0,0,0
80,2,random-0,random,17,80,2,8,2,0,2,0,4,4,16,8,2,2,2,2,1,0,0,0,0,0,0,0
80,1,random-0,random,18,80,1,2,8,2,0,2,4,4,16,8,1,3,2,2,1,0,0,0,0,0,0,0
80,0,random-0,random,19,80,0,2,8,2,2,4,2,4,16,8,0,4,2,2,1,0,0,0,0,0,0,0
80,0,random-0,random,20,80,0,2,8,2,2,4,2,4,16,8,0,4,2,2,1,0,0,0,0,0,0,0
80,0,random-0,random,21,80,0,2,8,2,2,4,2,4,16,8,0,4,2,2,1,0,0,0,0,0,0,0
80,0,random-0,random,22,80,0,2,8,2,2,4,2,4,16,8,0,4,2,2,1,0,0,0,0,0,0,0
88,1,random-0,random,23,88,1,2,8,0,4,4,4,4,16,8,1,1,4,2,1,0,0,0,0,0,0,0
96,1,random-0,random,24,96,1,2,8,2,8,4,0,4,16,8,1,2,2,3,1,0,0,0,0,0,0,0
96,0,random-0,random,25,96,0,2,8,2,8,4,2,4,16,8,0,3,2,3,1,0,0,0,0,0,0,0
96,0,random-0,random,26,96,0,2,8,2,8,4,2,4,16,8,0,3,2,3,1,0,0,0,0,0,0,0
100,0,random-0,random,27,100,0,2,8,2,8,4,4,4,16,8,0,2,3,3,1,0,0,0,0,0,0,0
108,0,random-0,random,28,108,0,2,8,2,2,8,8,4,16,8,0,3,1,4,1,0,0,0,0,0,0,0
124,0,random-0,random,29,124,0,2,8,2,2,16,4,4,16,8,0,3,2,2,2,0,0,0,0,0,0,0
160,1,random-0,random,30,160,1,0,2,2,4,8,4,4,32,8,1,2,3,2,0,1,0,0,0,0,0,0
164,1,random-0,random,31,164,1,4,0,2,4,8,4,4,32,8,1,1,4,2,0,1,0,0,0,0,0,0
164,0,random-0,random,32,164,0,4,4,2,4,8,4,4,32,8,0,1,5,2,0,1,0,0,0,0,0,0
172,0,random-0,random,33,172,0,8,4,2,4,8,4,2,32,8,0,2,3,3,0,1,0,0,0,0,0,0
0,6,random-1,random,0,0,6,0,0,0,2,0,0,0,2,2,6,3,0,0,0,0,0,0,0,0,0,0
4,6,random-1,random,1,4,6,0,0,0,2,0,2,4,0,0,6,2,1,0,0,0,0,0,0,0,0,0
8,6,random-1,random,2,8,6,0,0,0,4,0,0,4,4,0,6,0,3,0,0,0,0,0,0,0,0,0
16,6,random-1,random,3,16,6,0,0,0,4,0,0,8,0,2,6,1,1,1,0,0,0,0,0,0,0,0
16,5,random-1,random,4,16,5,0,0,0,4,2,0,8,2,0,5,2,1,1,0,0,0,0,0,0,0,0
20,5,random-1,random,5,20,5,2,0,0,4,0,0,8,4,0,5,1,2,1,0,0,0,0,0,0,0,0
20,4,random-1,random,6,20,4,2,2,0,4,0,0,8,4,0,4,2,2,1,0,0,0,0,0,0,0,0
24,4,random-1,random,7,24,4,4,0,0,4,0,2,8,4,0,4,1,3,1,0,0,0,0,0,0,0,0
24,3,random-1,random,8,24,3,4,2,0,4,2,0,8,4,0,3,2,3,1,0,0,0,0,0,0,0,0
24,2,random-1,random,9,24,2,4,2,4,4,2,0,8,4,0,2,2,4,1,0,0,0,0,0,0,0,0
24,1,random-1,random,10,24,1,4,2,4,4,2,2,8,4,0,1,3,4,1,0,0,0,0,0,0,0,0
28,1,random-1,random,11,28,1,4,2,4,4,4,4,0,8,4,1,1,6,1,0,0,0,0,0,0,0,0
36,1,random-1,random,12,36,1,4,2,4,8,4,0,8,4,4,1,1,5,2,0,0,0,0,0,0,0,0
44,1,random-1,random,13,44,1,4,2,4,8,4,2,8,8,0,1,2,3,3,0,0,0,0,0,0,0,0
