x,y,line,algo,step,reward,zeros,sum,biggest,a0,a1,a2,a3,a4,a5,a6,a7,a8,cnt0,cnt2,cnt4,cnt8,cnt16,cnt32
0,6,random-0,random,0,0,6,6,2,0,0,2,0,0,0,0,2,2,6,3,0,0,0,0
4,6,random-0,random,1,4,6,8,4,2,0,0,0,0,0,4,2,0,6,2,1,0,0,0
4,5,random-0,random,2,4,5,10,4,0,0,0,2,2,0,4,2,0,5,3,1,0,0,0
8,5,random-0,random,3,8,5,12,4,0,0,0,4,0,2,4,2,0,5,2,2,0,0,0
8,4,random-0,random,4,8,4,16,4,0,0,4,4,2,0,4,2,0,4,2,3,0,0,0
8,3,random-0,random,5,8,3,18,4,4,0,2,4,2,0,4,2,0,3,3,3,0,0,0
8,2,random-0,random,6,8,2,20,4,4,2,2,4,2,0,4,2,0,2,4,3,0,0,0
12,2,random-0,random,7,12,2,22,4,0,4,4,2,4,2,0,4,2,2,3,4,0,0,0
24,3,random-0,random,8,24,3,24,8,2,8,4,2,4,4,0,0,0,3,2,3,1,0,0
32,3,random-0,random,9,32,3,26,8,2,8,4,2,8,0,2,0,0,3,3,1,2,0,0
32,2,random-0,random,10,32,2,28,8,2,8,4,2,2,8,0,0,2,2,4,1,2,0,0
36,2,random-0,random,11,36,2,30,8,2,8,4,4,8,0,2,0,2,2,3,2,2,0,0
52,2,random-0,random,12,52,2,32,16,2,0,0,4,2,4,2,16,2,2,4,2,0,1,0
52,1,random-0,random,13,52,1,34,16,2,0,2,4,2,4,2,16,2,1,5,2,0,1,0
56,1,random-0,random,14,56,1,36,16,2,0,4,4,2,4,2,16,2,1,4,3,0,1,0
56,0,random-0,random,15,56,0,38,16,2,4,2,4,2,4,2,16,2,0,5,3,0,1,0
4,7,reward-greedy-0,reward-greedy,0,4,7,6,4,0,0,2,0,0,4,0,0,0,7,1,1,0,0,0
4,6,reward-greedy-0,reward-greedy,1,4,6,8,4,0,0,2,2,0,4,0,0,0,6,2,1,0,0,0
4,5,reward-greedy-0,reward-greedy,2,4,5,10,4,0,0,0,2,0,2,2,0,4,5,3,1,0,0,0
8,5,reward-greedy-0,reward-greedy,3,8,5,12,4,0,2,0,0,0,4,0,2,4,5,2,2,0,0,0
20,6,reward-greedy-0,reward-greedy,4,20,6,14,8,0,4,8,0,0,2,0,0,0,6,1,1,1,0,0
20,5,reward-greedy-0,reward-greedy,5,20,5,18,8,4,8,0,2,0,0,0,4,0,5,1,2,1,0,0
20,4,reward-greedy-0,reward-greedy,6,20,4,20,8,0,4,8,0,0,2,2,0,4,4,2,2,1,0,0
20,3,reward-greedy-0,reward-greedy,7,20,3,22,8,2,4,8,0,2,2,0,0,4,3,3,2,1,0,0
24,3,reward-greedy-0,reward-greedy,8,24,3,24,8,2,4,8,2,0,4,0,0,4,3,2,3,1,0,0
36,4,reward-greedy-0,reward-greedy,9,36,4,26,8,4,4,8,0,2,8,0,0,0,4,1,2,2,0,0
52,4,reward-greedy-0,reward-greedy,10,52,4,28,16,2,0,0,0,4,0,4,2,16,4,2,2,0,1,0
52,3,reward-greedy-0,reward-greedy,11,52,3,30,16,0,0,2,2,0,4,4,2,16,3,3,2,0,1,0
52,2,reward-greedy-0,reward-greedy,12,52,2,32,16,2,0,2,2,0,4,4,2,16,2,4,2,0,1,0
56,2,reward-greedy-0,reward-greedy,13,56,2,34,16,4,2,0,2,4,0,4,2,16,2,3,3,0,1,0
56,1,reward-greedy-0,reward-greedy,14,56,1,36,16,4,2,16,2,4,0,4,2,2,1,4,3,0,1,0
60,1,reward-greedy-0,reward-greedy,15,60,1,38,16,4,2,16,2,4,0,4,4,2,1,3,4,0,1,0
68,1,reward-greedy-0,reward-greedy,16,68,1,40,16,4,2,16,2,8,2,4,0,2,1,4,2,1,1,0
72,1,reward-greedy-0,reward-greedy,17,72,1,42,16,4,2,0,2,2,16,4,8,4,1,3,3,1,1,0
76,1,reward-greedy-0,reward-greedy,18,76,1,44,16,4,0,2,2,4,16,4,8,4,1,2,4,1,1,0
76,0,reward-greedy-0,reward-greedy,19,76,0,48,16,4,4,2,2,4,16,4,8,4,0,2,5,1,1,0
84,0,reward-greedy-0,reward-greedy,20,84,0,50,16,4,8,2,2,8,16,4,2,4,0,3,3,2,1,0
